Agency Name,Indicator Name,Period,Monthly Actual
Long Island Rail Road,Total Ridership,2009-05,6794737
Long Island Rail Road,Total Ridership,2009-04,7042760
Long Island Rail Road,Total Ridership,2009-03,7007440
Long Island Rail Road,Total Ridership,2009-02,6086638
Long Island Rail Road,Total Ridership,2009-01,6635505
Long Island Rail Road,Total Ridership,2008-12,7374694
Long Island Rail Road,Total Ridership,2008-11,6565079
Long Island Rail Road,Total Ridership,2008-10,7576507
Long Island Rail Road,Total Ridership,2008-09,7317370
Long Island Rail Road,Total Ridership,2008-08,7555198
Long Island Rail Road,Total Ridership,2008-07,7929227
Long Island Rail Road,Total Ridership,2008-06,7629775
Long Island Rail Road,Total Ridership,2008-05,7306098
Long Island Rail Road,Total Ridership,2008-04,7259848
Long Island Rail Road,Total Ridership,2008-03,7149326
Long Island Rail Road,Total Ridership,2008-02,6616912
Long Island Rail Road,Total Ridership,2008-01,7078442
Metro-North Railroad,Total Ridership,2019-12,7222953
Metro-North Railroad,Total Ridership,2019-11,6984562
Metro-North Railroad,Total Ridership,2019-10,7823079
Metro-North Railroad,Total Ridership,2019-09,7164148
Metro-North Railroad,Total Ridership,2019-08,7297197
Metro-North Railroad,Total Ridership,2019-07,7550014
Metro-North Railroad,Total Ridership,2019-06,7369572
Metro-North Railroad,Total Ridership,2019-05,7587279
Metro-North Railroad,Total Ridership,2019-04,7437206
Metro-North Railroad,Total Ridership,2019-03,7098004
Metro-North Railroad,Total Ridership,2019-02,6200044
Metro-North Railroad,Total Ridership,2019-01,6860312
Metro-North Railroad,Total Ridership,2018-12,7244447
Metro-North Railroad,Total Ridership,2018-11,7218474
Metro-North Railroad,Total Ridership,2018-10,7888088
Metro-North Railroad,Total Ridership,2018-09,6941823
Metro-North Railroad,Total Ridership,2018-08,7447642
Metro-North Railroad,Total Ridership,2018-07,7414611
Metro-North Railroad,Total Ridership,2018-06,7592314
Metro-North Railroad,Total Ridership,2018-05,7549186
Metro-North Railroad,Total Ridership,2018-04,7110538
Metro-North Railroad,Total Ridership,2018-03,7139088
Metro-North Railroad,Total Ridership,2018-02,6237588
Metro-North Railroad,Total Ridership,2018-01,6768837
Metro-North Railroad,Total Ridership,2017-12,7160806
Metro-North Railroad,Total Ridership,2017-11,7277877
Metro-North Railroad,Total Ridership,2017-10,7730577
Metro-North Railroad,Total Ridership,2017-09,7083645
Metro-North Railroad,Total Ridership,2017-08,7507575
Metro-North Railroad,Total Ridership,2017-07,7244976
Metro-North Railroad,Total Ridership,2017-06,7708077
Metro-North Railroad,Total Ridership,2017-05,7464395
Metro-North Railroad,Total Ridership,2017-04,7015190
Metro-North Railroad,Total Ridership,2017-03,7308183
Metro-North Railroad,Total Ridership,2017-02,6255285
Metro-North Railroad,Total Ridership,2017-01,6739640
Metro-North Railroad,Total Ridership,2016-12,7416456
Metro-North Railroad,Total Ridership,2016-11,7235754
Metro-North Railroad,Total Ridership,2016-10,7444035
Metro-North Railroad,Total Ridership,2016-09,7269161
Metro-North Railroad,Total Ridership,2016-08,7444260
Metro-North Railroad,Total Ridership,2016-07,7245013
Metro-North Railroad,Total Ridership,2016-06,7679576
Metro-North Railroad,Total Ridership,2016-05,7197619
Metro-North Railroad,Total Ridership,2016-04,7119160
Metro-North Railroad,Total Ridership,2016-03,7531732
Metro-North Railroad,Total Ridership,2016-02,6443258
Metro-North Railroad,Total Ridership,2016-01,6468097
Metro-North Railroad,Total Ridership,2015-12,7632258
Metro-North Railroad,Total Ridership,2015-11,6998173
Metro-North Railroad,Total Ridership,2015-10,7667660
Metro-North Railroad,Total Ridership,2015-09,7352209
Metro-North Railroad,Total Ridership,2015-08,7201809
Metro-North Railroad,Total Ridership,2015-07,7644287
Metro-North Railroad,Total Ridership,2015-06,7604031
Metro-North Railroad,Total Ridership,2015-05,7177702
Metro-North Railroad,Total Ridership,2015-04,7283033
Metro-North Railroad,Total Ridership,2015-03,7171308
Metro-North Railroad,Total Ridership,2015-02,5972025
Metro-North Railroad,Total Ridership,2015-01,6304067
Metro-North Railroad,Total Ridership,2014-12,7503970
Metro-North Railroad,Total Ridership,2014-11,6685728
Metro-North Railroad,Total Ridership,2014-10,7653001
Metro-North Railroad,Total Ridership,2014-09,7215858
Metro-North Railroad,Total Ridership,2014-08,7078935
Metro-North Railroad,Total Ridership,2014-07,7520253
Metro-North Railroad,Total Ridership,2014-06,7360103
Metro-North Railroad,Total Ridership,2014-05,7169671
Metro-North Railroad,Total Ridership,2014-04,7159018
Metro-North Railroad,Total Ridership,2014-03,6824170
Metro-North Railroad,Total Ridership,2014-02,5963984
Metro-North Railroad,Total Ridership,2014-01,6526360
Metro-North Railroad,Total Ridership,2013-12,7062872
Metro-North Railroad,Total Ridership,2013-11,6680246
Metro-North Railroad,Total Ridership,2013-10,7382282
Metro-North Railroad,Total Ridership,2013-09,6786130
Metro-North Railroad,Total Ridership,2013-08,7132265
Metro-North Railroad,Total Ridership,2013-07,7300168
Metro-North Railroad,Total Ridership,2013-06,7095500
Metro-North Railroad,Total Ridership,2013-05,7198299
Metro-North Railroad,Total Ridership,2013-04,7106230
Metro-North Railroad,Total Ridership,2013-03,6961374
Metro-North Railroad,Total Ridership,2013-02,5996007
Metro-North Railroad,Total Ridership,2013-01,6677133
Metro-North Railroad,Total Ridership,2012-12,7009613
Metro-North Railroad,Total Ridership,2012-11,6283202
Metro-North Railroad,Total Ridership,2012-10,6778734
Metro-North Railroad,Total Ridership,2012-09,6754982
Metro-North Railroad,Total Ridership,2012-08,7349146
Metro-North Railroad,Total Ridership,2012-07,7214301
Metro-North Railroad,Total Ridership,2012-06,7269950
Metro-North Railroad,Total Ridership,2012-05,7242998
Metro-North Railroad,Total Ridership,2012-04,6972024
Metro-North Railroad,Total Ridership,2012-03,7145215
Metro-North Railroad,Total Ridership,2012-02,6395892
Metro-North Railroad,Total Ridership,2012-01,6537572
Metro-North Railroad,Total Ridership,2011-12,7339230
Metro-North Railroad,Total Ridership,2011-11,6948147
Metro-North Railroad,Total Ridership,2011-10,7042872
Metro-North Railroad,Total Ridership,2011-09,6960470
Metro-North Railroad,Total Ridership,2011-08,6704764
Metro-North Railroad,Total Ridership,2011-07,7012229
Metro-North Railroad,Total Ridership,2011-06,7327290
Metro-North Railroad,Total Ridership,2011-05,6948660
Metro-North Railroad,Total Ridership,2011-04,6804593
Metro-North Railroad,Total Ridership,2011-03,7067303
Metro-North Railroad,Total Ridership,2011-02,5823842
Metro-North Railroad,Total Ridership,2011-01,6058384
Metro-North Railroad,Total Ridership,2010-12,7089455
Metro-North Railroad,Total Ridership,2010-11,6810467
Metro-North Railroad,Total Ridership,2010-10,7027596
Metro-North Railroad,Total Ridership,2010-09,6852629
Metro-North Railroad,Total Ridership,2010-08,6912973
Metro-North Railroad,Total Ridership,2010-07,6992466
Metro-North Railroad,Total Ridership,2010-06,7158125
Metro-North Railroad,Total Ridership,2010-05,6731056
Metro-North Railroad,Total Ridership,2010-04,6837262
Metro-North Railroad,Total Ridership,2010-03,6938210
Metro-North Railroad,Total Ridership,2010-02,5687951
Metro-North Railroad,Total Ridership,2010-01,6057658
Metro-North Railroad,Total Ridership,2009-12,6922906
