Agency Name,Indicator Name,Period,Monthly Actual
NYC Transit,Total Ridership - NYCT Bus,2011-04,55612772
NYC Transit,Total Ridership - NYCT Bus,2011-03,61735281
NYC Transit,Total Ridership - NYCT Bus,2011-02,50216572
NYC Transit,Total Ridership - NYCT Bus,2011-01,50743111
NYC Transit,Total Ridership - NYCT Bus,2010-12,50743111
NYC Transit,Total Ridership - NYCT Bus,2010-11,58061221
NYC Transit,Total Ridership - NYCT Bus,2010-10,61953116
NYC Transit,Total Ridership - NYCT Bus,2010-09,58849746
NYC Transit,Total Ridership - NYCT Bus,2010-08,54888218
NYC Transit,Total Ridership - NYCT Bus,2010-07,56288501
NYC Transit,Total Ridership - NYCT Bus,2010-06,60096854
NYC Transit,Total Ridership - NYCT Bus,2010-05,61939306
NYC Transit,Total Ridership - NYCT Bus,2010-04,61770630
NYC Transit,Total Ridership - NYCT Bus,2010-03,63734422
NYC Transit,Total Ridership - NYCT Bus,2010-02,50967260
NYC Transit,Total Ridership - NYCT Bus,2010-01,55536876
NYC Transit,Total Ridership - NYCT Bus,2009-12,57968949
NYC Transit,Total Ridership - NYCT Bus,2009-11,59500722
NYC Transit,Total Ridership - NYCT Bus,2009-10,65187884
NYC Transit,Total Ridership - NYCT Bus,2009-09,61277073
NYC Transit,Total Ridership - NYCT Bus,2009-08,55813560
NYC Transit,Total Ridership - NYCT Bus,2009-07,58621866
NYC Transit,Total Ridership - NYCT Bus,2009-06,61470181
NYC Transit,Total Ridership - NYCT Bus,2009-05,63714187
NYC Transit,Total Ridership - NYCT Bus,2009-04,62183189
NYC Transit,Total Ridership - NYCT Bus,2009-03,65574537
NYC Transit,Total Ridership - NYCT Bus,2009-02,56959039
NYC Transit,Total Ridership - NYCT Bus,2009-01,58200405
NYC Transit,Total Ridership - NYCT Bus,2008-12,60348000
NYC Transit,Total Ridership - NYCT Bus,2008-11,59213000
NYC Transit,Total Ridership - NYCT Bus,2008-10,67390000
NYC Transit,Total Ridership - NYCT Bus,2008-09,64956000
NYC Transit,Total Ridership - NYCT Bus,2008-08,58465618
NYC Transit,Total Ridership - NYCT Bus,2008-07,61878187
NYC Transit,Total Ridership - NYCT Bus,2008-06,62609260
NYC Transit,Total Ridership - NYCT Bus,2008-05,65582363
NYC Transit,Total Ridership - NYCT Bus,2008-04,63701847
NYC Transit,Total Ridership - NYCT Bus,2008-03,64147814
NYC Transit,Total Ridership - NYCT Bus,2008-02,57631961
NYC Transit,Total Ridership - NYCT Bus,2008-01,60889506
NYC Transit,Total Ridership - Subways,2017-12,139097559
NYC Transit,Total Ridership - Subways,2017-11,144357826
NYC Transit,Total Ridership - Subways,2017-10,153344574
NYC Transit,Total Ridership - Subways,2017-09,143012669
NYC Transit,Total Ridership - Subways,2017-08,141721056
NYC Transit,Total Ridership - Subways,2017-07,137447659
NYC Transit,Total Ridership - Subways,2017-06,149360780
NYC Transit,Total Ridership - Subways,2017-05,153470353
NYC Transit,Total Ridership - Subways,2017-04,143284553
NYC Transit,Total Ridership - Subways,2017-03,151384924
NYC Transit,Total Ridership - Subways,2017-02,130465060
NYC Transit,Total Ridership - Subways,2017-01,140288294
NYC Transit,Total Ridership - Subways,2016-12,147509424
NYC Transit,Total Ridership - Subways,2016-11,147033943
NYC Transit,Total Ridership - Subways,2016-10,150638608
NYC Transit,Total Ridership - Subways,2016-09,148467391
NYC Transit,Total Ridership - Subways,2016-08,143703034
NYC Transit,Total Ridership - Subways,2016-07,139851426
NYC Transit,Total Ridership - Subways,2016-06,151007041
NYC Transit,Total Ridership - Subways,2016-05,151910204
NYC Transit,Total Ridership - Subways,2016-04,147291655
NYC Transit,Total Ridership - Subways,2016-03,156297328
NYC Transit,Total Ridership - Subways,2016-02,136690795
NYC Transit,Total Ridership - Subways,2016-01,136413951
NYC Transit,Total Ridership - Subways,2015-12,150834412
NYC Transit,Total Ridership - Subways,2015-11,144519447
NYC Transit,Total Ridership - Subways,2015-10,161124042
NYC Transit,Total Ridership - Subways,2015-09,146515000
NYC Transit,Total Ridership - Subways,2015-08,139974023
NYC Transit,Total Ridership - Subways,2015-07,148098272
NYC Transit,Total Ridership - Subways,2015-06,152034275
NYC Transit,Total Ridership - Subways,2015-05,151418931
NYC Transit,Total Ridership - Subways,2015-04,150348150
NYC Transit,Total Ridership - Subways,2015-03,153076928
NYC Transit,Total Ridership - Subways,2015-02,130778251
NYC Transit,Total Ridership - Subways,2015-01,133769924
NYC Transit,Total Ridership - Subways,2014-12,150150167
NYC Transit,Total Ridership - Subways,2014-11,141224462
NYC Transit,Total Ridership - Subways,2014-10,160094868
NYC Transit,Total Ridership - Subways,2014-09,149379082
NYC Transit,Total Ridership - Subways,2014-08,140032698
NYC Transit,Total Ridership - Subways,2014-07,146387263
NYC Transit,Total Ridership - Subways,2014-06,147972716
NYC Transit,Total Ridership - Subways,2014-05,152779557
NYC Transit,Total Ridership - Subways,2014-04,147926218
NYC Transit,Total Ridership - Subways,2014-03,148399611
NYC Transit,Total Ridership - Subways,2014-02,129798394
NYC Transit,Total Ridership - Subways,2014-01,137104015
NYC Transit,Total Ridership - Subways,2013-12,142545974
NYC Transit,Total Ridership - Subways,2013-11,141464184
NYC Transit,Total Ridership - Subways,2013-10,156450636
NYC Transit,Total Ridership - Subways,2013-09,141551981
NYC Transit,Total Ridership - Subways,2013-08,138694131.77
NYC Transit,Total Ridership - Subways,2013-07,140790832
NYC Transit,Total Ridership - Subways,2013-06,141256868
NYC Transit,Total Ridership - Subways,2013-05,150544399
NYC Transit,Total Ridership - Subways,2013-04,146388413.89
NYC Transit,Total Ridership - Subways,2013-03,142934752
NYC Transit,Total Ridership - Subways,2013-02,127917491.26
NYC Transit,Total Ridership - Subways,2013-01,136985100.41
NYC Transit,Total Ridership - Subways,2012-12,137234842
NYC Transit,Total Ridership - Subways,2012-11,124291965
NYC Transit,Total Ridership - Subways,2012-10,137138044
NYC Transit,Total Ridership - Subways,2012-09,136962617
NYC Transit,Total Ridership - Subways,2012-08,139368048
NYC Transit,Total Ridership - Subways,2012-07,137123261
NYC Transit,Total Ridership - Subways,2012-06,141989816
NYC Transit,Total Ridership - Subways,2012-05,148398562
NYC Transit,Total Ridership - Subways,2012-04,139083547
NYC Transit,Total Ridership - Subways,2012-03,147440937
NYC Transit,Total Ridership - Subways,2012-02,132353517
NYC Transit,Total Ridership - Subways,2012-01,132772387
NYC Transit,Total Ridership - Subways,2011-12,141987712
NYC Transit,Total Ridership - Subways,2011-11,139725379
NYC Transit,Total Ridership - Subways,2011-10,144272734
NYC Transit,Total Ridership - Subways,2011-09,138363218
NYC Transit,Total Ridership - Subways,2011-08,128020545
NYC Transit,Total Ridership - Subways,2011-07,131188482
NYC Transit,Total Ridership - Subways,2011-06,146943606
NYC Transit,Total Ridership - Subways,2011-05,140211645
NYC Transit,Total Ridership - Subways,2011-04,134759291
NYC Transit,Total Ridership - Subways,2011-03,144992308
NYC Transit,Total Ridership - Subways,2011-02,123148197
NYC Transit,Total Ridership - Subways,2011-01,126714693
NYC Transit,Total Ridership - Subways,2010-12,135904672.22
NYC Transit,Total Ridership - Subways,2010-11,135692863
NYC Transit,Total Ridership - Subways,2010-10,142062724
NYC Transit,Total Ridership - Subways,2010-09,134616599
NYC Transit,Total Ridership - Subways,2010-08,129614344
NYC Transit,Total Ridership - Subways,2010-07,131462116
NYC Transit,Total Ridership - Subways,2010-06,137776559
NYC Transit,Total Ridership - Subways,2010-05,136783505
NYC Transit,Total Ridership - Subways,2010-04,137493648
NYC Transit,Total Ridership - Subways,2010-03,141694962
NYC Transit,Total Ridership - Subways,2010-02,116642180
NYC Transit,Total Ridership - Subways,2010-01,124453847
NYC Transit,Total Ridership - Subways,2009-12,134646273
NYC Transit,Total Ridership - Subways,2009-11,129582208
NYC Transit,Total Ridership - Subways,2009-10,140665575
NYC Transit,Total Ridership - Subways,2009-09,132849077
NYC Transit,Total Ridership - Subways,2009-08,124429585
NYC Transit,Total Ridership - Subways,2009-07,132712155
NYC Transit,Total Ridership - Subways,2009-06,134869386.24
NYC Transit,Total Ridership - Subways,2009-05,133291045
NYC Transit,Total Ridership - Subways,2009-04,133627175
NYC Transit,Total Ridership - Subways,2009-03,136722849
NYC Transit,Total Ridership - Subways,2009-02,120462055
NYC Transit,Total Ridership - Subways,2009-01,126009217
NYC Transit,Total Ridership - Subways,2008-12,135899369
NYC Transit,Total Ridership - Subways,2008-11,128600655
NYC Transit,Total Ridership - Subways,2008-10,145276862
NYC Transit,Total Ridership - Subways,2008-09,138407478
NYC Transit,Total Ridership - Subways,2008-08,130906150
NYC Transit,Total Ridership - Subways,2008-07,137724560
NYC Transit,Total Ridership - Subways,2008-06,136670880
NYC Transit,Total Ridership - Subways,2008-05,140151863
NYC Transit,Total Ridership - Subways,2008-04,136528969
NYC Transit,Total Ridership - Subways,2008-03,137148128
NYC Transit,Total Ridership - Subways,2008-02,125878662
NYC Transit,Total Ridership - Subways,2008-01,130687792
